datetime,Data,Ora,Precipitazioni (mm),Probabilità di Precipitazione
2025-06-22 09:00:00,22/06/2025,09:00,0.0,3
2025-06-22 10:00:00,22/06/2025,10:00,0.0,4
2025-06-22 11:00:00,22/06/2025,11:00,0.0,4
2025-06-22 12:00:00,22/06/2025,12:00,0.2,4
2025-06-22 13:00:00,22/06/2025,13:00,0.2,5
2025-06-22 14:00:00,22/06/2025,14:00,0.2,5
2025-06-22 15:00:00,22/06/2025,15:00,0.1,6
2025-06-22 16:00:00,22/06/2025,16:00,0.1,6
2025-06-22 17:00:00,22/06/2025,17:00,0.1,7
2025-06-22 18:00:00,22/06/2025,18:00,0.0,8
2025-06-22 19:00:00,22/06/2025,19:00,0.0,8
2025-06-22 20:00:00,22/06/2025,20:00,0.0,8
2025-06-22 21:00:00,22/06/2025,21:00,0.0,7
2025-06-22 22:00:00,22/06/2025,22:00,0.0,6
2025-06-22 23:00:00,22/06/2025,23:00,0.0,4
2025-06-23 00:00:00,23/06/2025,00:00,0.0,2
2025-06-23 01:00:00,23/06/2025,01:00,0.0,1
2025-06-23 02:00:00,23/06/2025,02:00,0.0,0
2025-06-23 03:00:00,23/06/2025,03:00,0.0,0
2025-06-23 04:00:00,23/06/2025,04:00,0.0,0
2025-06-23 05:00:00,23/06/2025,05:00,0.0,0
2025-06-23 06:00:00,23/06/2025,06:00,0.0,0
2025-06-23 07:00:00,23/06/2025,07:00,0.0,0
2025-06-23 08:00:00,23/06/2025,08:00,0.0,0
2025-06-23 09:00:00,23/06/2025,09:00,0.0,0
2025-06-23 10:00:00,23/06/2025,10:00,0.0,0
2025-06-23 11:00:00,23/06/2025,11:00,0.0,0
2025-06-23 12:00:00,23/06/2025,12:00,0.0,0
2025-06-23 13:00:00,23/06/2025,13:00,0.0,0
2025-06-23 14:00:00,23/06/2025,14:00,0.0,0
2025-06-23 15:00:00,23/06/2025,15:00,0.0,0
2025-06-23 16:00:00,23/06/2025,16:00,0.0,0
2025-06-23 17:00:00,23/06/2025,17:00,0.0,0
2025-06-23 18:00:00,23/06/2025,18:00,0.0,0
2025-06-23 19:00:00,23/06/2025,19:00,0.0,0
2025-06-23 20:00:00,23/06/2025,20:00,0.0,0
2025-06-23 21:00:00,23/06/2025,21:00,0.0,0
2025-06-23 22:00:00,23/06/2025,22:00,0.0,0
2025-06-23 23:00:00,23/06/2025,23:00,0.0,0
2025-06-24 00:00:00,24/06/2025,00:00,0.0,0
2025-06-24 01:00:00,24/06/2025,01:00,0.0,0
2025-06-24 02:00:00,24/06/2025,02:00,0.0,0
2025-06-24 03:00:00,24/06/2025,03:00,0.0,0
2025-06-24 04:00:00,24/06/2025,04:00,0.0,0
2025-06-24 05:00:00,24/06/2025,05:00,0.0,0
2025-06-24 06:00:00,24/06/2025,06:00,0.0,0
2025-06-24 07:00:00,24/06/2025,07:00,0.0,0
2025-06-24 08:00:00,24/06/2025,08:00,0.0,0
2025-06-24 09:00:00,24/06/2025,09:00,0.0,0
2025-06-24 10:00:00,24/06/2025,10:00,0.0,0
2025-06-24 11:00:00,24/06/2025,11:00,0.0,0
2025-06-24 12:00:00,24/06/2025,12:00,0.0,0
2025-06-24 13:00:00,24/06/2025,13:00,0.0,0
2025-06-24 14:00:00,24/06/2025,14:00,0.0,0
2025-06-24 15:00:00,24/06/2025,15:00,0.0,0
2025-06-24 16:00:00,24/06/2025,16:00,0.0,0
2025-06-24 17:00:00,24/06/2025,17:00,0.0,0
2025-06-24 18:00:00,24/06/2025,18:00,0.0,0
2025-06-24 19:00:00,24/06/2025,19:00,0.0,0
2025-06-24 20:00:00,24/06/2025,20:00,0.0,0
2025-06-24 21:00:00,24/06/2025,21:00,0.0,0
2025-06-24 22:00:00,24/06/2025,22:00,0.0,0
2025-06-24 23:00:00,24/06/2025,23:00,0.0,0
