datetime,temperature_2m,apparent_temperature
2025-06-24 07:00:00,22.1,26.2
2025-06-24 08:00:00,23.2,27.4
2025-06-24 09:00:00,25.0,29.2
2025-06-24 10:00:00,27.4,30.5
2025-06-24 11:00:00,29.2,32.1
2025-06-24 12:00:00,30.1,32.9
2025-06-24 13:00:00,30.5,33.3
2025-06-24 14:00:00,30.7,33.1
2025-06-24 15:00:00,30.8,32.9
2025-06-24 16:00:00,30.6,32.4
2025-06-24 17:00:00,30.1,31.5
2025-06-24 18:00:00,29.4,30.7
2025-06-24 19:00:00,28.4,30.3
2025-06-24 20:00:00,27.4,30.0
2025-06-24 21:00:00,26.4,29.8
2025-06-24 22:00:00,25.5,29.6
2025-06-24 23:00:00,24.7,29.2
